"country","capacity_mw","latitude","longitude","commissioning_year","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","primary_fuelBiomass","primary_fuelCoal","primary_fuelCogeneration","primary_fuelGas","primary_fuelGeothermal","primary_fuelHydro","primary_fuelNuclear","primary_fuelOil","primary_fuelOther","primary_fuelPetcoke","primary_fuelSolar","primary_fuelStorage","primary_fuelWaste","primary_fuelWave.and.Tidal","primary_fuelWind"
44,450,35.5658,-0.9386,2016,1997.74,2184.907,35,698.491,471.946,312.965002,31.422,1867.16,1720.87,1980.09,2067.82,1878.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,60,33.727,2.811,2015,23.054,883.103,631.819001,103.28,88.78,193.912,1188.925048,98.96,96.03,95.17,93.44,95.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,292,35.7666,7.3619,1998,1906.186,2066.584,2349.6726,2125.527,1866.144,1980.788996,1886.216,1223.23,806.5,1003.14,1155.84,1219.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,30,32.602,5.834,2016,9.2,4.363,22.72248,1.752,21.263,28.121,5.75,47.3,49.38,47.99,50.88,48.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,1200,36.5767,2.0797,2009,2638.807956,2598.647,2833.48996,2633.020045,3080.131,2998.86035,2029.12105,4959.7,5809.09,3528.29,5095.97,5010.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,418,36.7489,3.0823,2012,1051.092,1119.27,746.062,342,46.751,290.314,13.103,1424.05,1855.62,1669.85,1741.36,1745.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,492,31.8065,5.9924,2009,395.561998,289.53166,488.434,520.325,565.435005,579.31885,271.326,1188.48,1666.16,1842.21,1511.42,2054.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,20,33.123,3.356,2012,0,7.058,59.763,22.276,0,6.149,4.475,6.81,35.77,34.3,35.45,34.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,106.6,34.342,3.169,2011,238.39422,58.266,101.936,39.044,37.147,24.463,146.341,137.6,163.86,166.11,173.56,173.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,73.8,35.68,5.9861,2014,1.434,2.95515,27.201,0.037,18.273,4.618,51.42,107.37,129.42,130.32,131.08,130.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,24,36.4739,5.2719,1952,0,0,9.056,0,61.267,39.973,0.696,30.81,33.08,27.86,32.34,30.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,5,27.183,2.504,2016,210.523,417.610002,412.476,159.198,161.593,186.067,59.223,5.92,9.34,8.63,8.8,8.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,588,36.8139,5.876,2006,3214.979,3421.202,2853.46,4751.779,0,1100.67895,1702.262,2422.15,2192.86,2535.3,1654.55,2455.21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,20,32.945,0.555,2011,17.191,7.556,17.189,0,55.28321,6.221,9.244,9.82,33.91,33.62,34.41,33.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,396,34.5056,6.9848,2015,529.24,530.041,1333.092,1320.487,856.677,1060.949002,2201.556,1265.65,1234.42,1974.38,1447.81,1653.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,840,35.8,-0.1924,2012,742.763,590.121,0,324.607,136.06108,446.263,1525.056,2896.84,3258.51,3641.92,2982.07,3507.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,184,35.8,-0.1924,2012,234.951,358.037,74.591,263.02,926.488,340.041,774.615,1119.9,823.46,968.53,1031.86,768.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,980,35.7071,4.4804,1996,1422.25,1119.27,574.616,787.061,321.791,845.262,189.363999,3439.88,4069.61,4036.49,3777.06,4092.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,19.9,33.274,-0.372,2006,94.20333333,135.669,24.626,4.692,73.288,14.645,12.111,10.5,33.71,33.18,34.48,33.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,20,36.01,5.035,2011,-0.099,25.046,455.677,461.962,158.423,297.993,197.182,11.94,38.61,37.36,38.14,38.71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,5,26.768,0.137,2003,465.038,359.792729,682.792,2321.20565,1720.248,1204.947035,1104.875,14.68,8.8,8.84,8.82,8.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
