country,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
DZA,345,35.8064,-0.2476,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440.56
DZA,1200,36.885,8.0778,Gas,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5010.64
DZA,20,32.945,0.555,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.91,33.62,34.41,33.84
DZA,396,34.5056,6.9848,Gas,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1653.51
DZA,840,35.8,-0.1924,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3507.45
DZA,184,35.8,-0.1924,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768.29
DZA,980,35.7071,4.4804,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4092.02
DZA,19.9,33.274,-0.372,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.71,33.18,34.48,33.31
DZA,15,35.919,7.87,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,28.76,28.54,28.38
DZA,20,35.68,5.9861,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.41,37.26,37.62,37.38
DZA,672,36.8509,3.6983,Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2805.96
DZA,20,36.01,5.035,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.61,37.36,38.14,38.71
DZA,73,35.7095,-0.6319,Gas,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.81
DZA,5,26.768,0.137,Solar,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.84,8.82,8.92
DZA,465,35.7835,0.5407,Gas,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941.62
DZA,484,36.1399,2.9296,Gas,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020.96
